model_short,model_name,total_cases,macro_recall_at_1_id,weighted_recall_at_1_id,macro_recall_at_10_id,weighted_recall_at_10_id,macro_error_rate,weighted_error_rate,phenopacket_top1,phenopacket_top10,phenopacket_error_rate,HMS_top1,HMS_top10,HMS_error_rate,LIRICAL_top1,LIRICAL_top10,LIRICAL_error_rate,MME_top1,MME_top10,MME_error_rate,RAMEDIS_top1,RAMEDIS_top10,RAMEDIS_error_rate
llama3-med42-70b,m42-health/Llama3-Med42-70B,8000,0.19473725944766146,0.14525,0.33658750380980185,0.314125,0.0016236590316033631,0.007,0.11539576688895332,0.2776167004928965,0.008118295158016816,0.20588235294117646,0.3235294117647059,0.0,0.15945945945945947,0.3324324324324324,0.0,0.025,0.025,0.0,0.46794871794871795,0.7243589743589743,0.0
gemma-3-27b-it,google/gemma-3-27b-it,8000,0.1272308392364504,0.123625,0.2747680791740025,0.227875,0.0,0.0,0.1130762539866628,0.19991301826616412,0.0,0.16176470588235295,0.36764705882352944,0.0,0.10810810810810811,0.21621621621621623,0.0,0.0,0.05,0.0,0.2532051282051282,0.5400641025641025,0.0
qwen2.5-32b-instruct,Qwen/Qwen2.5-32B-Instruct,8000,0.1273286244554984,0.121125,0.24097578626645025,0.220375,0.0,0.0,0.10539286749782546,0.19483908379240358,0.0,0.10294117647058823,0.25,0.0,0.12702702702702703,0.22702702702702704,0.0,0.0,0.025,0.0,0.30128205128205127,0.5080128205128205,0.0
llama3-med42-8b,m42-health/Llama3-Med42-8B,8000,0.054041919273060436,0.0695,0.12642685640251006,0.126,0.0002029573789504204,0.000875,0.07132502174543345,0.11423601043780807,0.001014786894752102,0.07352941176470588,0.11764705882352941,0.0,0.07567567567567568,0.14864864864864866,0.0,0.0,0.0,0.0,0.049679487179487176,0.2516025641025641,0.0
medgemma-27b-it,google/medgemma-27b-it,8000,0.0983813286811172,0.06425,0.2100392781748844,0.117875,0.1825293934625284,0.521625,0.05044940562481879,0.08683676427950131,0.5795882864598434,0.1323529411764706,0.3235294117647059,0.029411764705882353,0.08378378378378379,0.1891891891891892,0.06486486486486487,0.025,0.05,0.0,0.20032051282051283,0.40064102564102566,0.2387820512820513
