model_short,model_name,total_cases,macro_recall_at_1_id,weighted_recall_at_1_id,macro_recall_at_10_id,weighted_recall_at_10_id,macro_error_rate,weighted_error_rate,mygene2_top1,mygene2_top10,mygene2_error_rate,allG2P_top1,allG2P_top10,allG2P_error_rate
qwen2.5-32b-instruct,Qwen/Qwen2.5-32B-Instruct,2319,0.033053540021055414,0.04398447606727038,0.06570047091011101,0.09918068132815869,0.0,0.0,0.02054794520547945,0.0273972602739726,0.0,0.04555913483663138,0.10400368154624942,0.0
gemma-3-27b-it,google/gemma-3-27b-it,2319,0.025026949675027894,0.03492884864165589,0.07914221233191912,0.0944372574385511,0.0,0.0,0.0136986301369863,0.06164383561643835,0.0,0.03635526921306949,0.0966405890473999,0.0
medgemma-27b-it,google/medgemma-27b-it,2319,0.027991413928096374,0.03449762828805519,0.046629241815809214,0.06942647692971109,0.12472813924313965,0.18585597240189736,0.02054794520547945,0.02054794520547945,0.0547945205479452,0.0354348826507133,0.07271053842613898,0.1946617579383341
llama3-med42-8b,m42-health/Llama3-Med42-8B,2319,0.013522117645575524,0.013367830961621389,0.031212766896343037,0.04053471323846486,0.0006902899217671422,0.00129366106080207,0.0136986301369863,0.02054794520547945,0.0,0.013345605154164749,0.041877588587206624,0.0013805798435342844
llama3-med42-70b,m42-health/Llama3-Med42-70B,146,0.00684931506849315,0.00684931506849315,0.2054794520547945,0.2054794520547945,0.0,0.0,0.00684931506849315,0.2054794520547945,0.0,,,
