dataset,n,n_multi_omim,pct_multi_omim,retriever_hit1,llm_hit1_fuzzy,llm_hit1_exact,llm_hit1_multi_fuzzy,llm_hit1_multi_exact,fuzzy_inflation_pp,winner_fuzzy,winner_exact
RAMEDIS,624,0,0.0,0.1026,0.4679,0.3446,0.4679,0.3446,12.34,LLM,LLM
HMS,68,24,0.353,0.0735,0.2059,0.0,0.2353,0.0294,20.59,LLM,RET
LIRICAL,370,0,0.0,0.527,0.1595,0.0351,0.1595,0.0351,12.43,RET,RET
MME,40,0,0.0,0.65,0.025,0.0,0.025,0.0,2.5,RET,RET
