disease,category,n_cases,n_non_ret,non_ret_rate,hpoa_annotations
"Contractural arachnodactyly, congenital",Other,13,0,0.0,49
"Emery-Dreifuss muscular dystrophy 2, autosomal dominant",Muscular dystrophy / Myopathy,41,0,0.0,57
"Anemia, sideroblastic, and spinocerebellar ataxia",Epilepsy / Neurological,18,0,0.0,52
Aarskog-Scott syndrome,Other,48,0,0.0,70
Orofaciodigital syndrome I,Other,16,0,0.0,59
HMG-CoA synthase-2 deficiency,Other,39,0,0.0,20
MHC class II deficiency 2,Other,15,0,0.0,19
"Lipodystrophy, familial partial, type 2",Other,126,0,0.0,75
Ullrich congenital muscular dystrophy 1B,Muscular dystrophy / Myopathy,7,0,0.0,36
"Myopathy, distal, Tateyama type",Muscular dystrophy / Myopathy,7,0,0.0,13
Ullrich congenital muscular dystrophy 1C,Muscular dystrophy / Myopathy,5,0,0.0,14
LEOPARD syndrome 1,Rasopathy / RAS pathway,27,0,0.0,44
Bamforth-Lazarus syndrome,Other,7,0,0.0,19
"Cutis laxa, autosomal recessive, type IA",Other,5,0,0.0,24
"Hemophagocytic lymphohistiocytosis, familial, 2",Other,3,0,0.0,42
"Ectopia lentis, familial",Marfan / Connective tissue,24,0,0.0,18
Sick sinus syndrome 2,Other,6,0,0.0,20
Lathosterolosis,Other,3,0,0.0,36
Cone-rod dystrophy 13,Vision / Retinal,20,0,0.0,25
"Tubulointerstitial kidney disease, autosomal dominant, 1",Other,75,0,0.0,33
"Hypomagnesemia 3, renal",Renal / Nephrotic,50,0,0.0,55
Prolonged electroretinal response suppression 2,Other,5,0,0.0,5
Prolonged electroretinal response suppression 1,Other,5,0,0.0,4
"Maple syrup urine disease, type Ib",Other,3,0,0.0,7
"Encephalopathy, porphyria-related",Other,3,0,0.0,28
"Congenital disorder of glycosylation, type Il",Other,6,0,0.0,47
Treacher Collins syndrome 1,Other,4,0,0.0,32
"Spastic paraplegia 10, autosomal dominant",Other,5,0,0.0,18
"Myasthenic syndrome, congenital, 9, associated with acetylcholine receptor deficiency",Other,8,0,0.0,28
Bardet-Biedl syndrome 4,Other,4,0,0.0,14
Loeys-Dietz syndrome 1,Marfan / Connective tissue,22,0,0.0,59
Myoclonic epilepsy of Lafora 2,Epilepsy / Neurological,21,0,0.0,11
Neurodegeneration with brain iron accumulation 1,Other,15,0,0.0,51
"Robinow syndrome, autosomal recessive",Other,32,0,0.0,105
"Fanconi anemia, complementation group C",Other,4,0,0.0,39
"Epidermolytic hyperkeratosis 2B, autosomal recessive",Other,4,0,0.0,11
"Simpson-Golabi-Behmel syndrome, type 2",Other,3,0,0.0,16
"Cockayne syndrome, type A",Other,10,0,0.0,83
Mitochondrial DNA depletion syndrome 6 (hepatocerebral type),Mitochondrial,57,0,0.0,182
"Nephrotic syndrome, type 5, with or without ocular abnormalities",Renal / Nephrotic,12,0,0.0,23
"Autoimmune polyendocrinopathy syndrome , type I, with or without reversible metaphyseal dysplasia",Other,48,0,0.0,57
Noonan syndrome 3,Rasopathy / RAS pathway,7,0,0.0,57
"Neurofibromatosis, type 1",Rasopathy / RAS pathway,204,0,0.0,56
"Congenital disorder of glycosylation, type IIh",Other,4,0,0.0,65
"Ichthyosis, congenital, autosomal recessive 11",Other,4,0,0.0,17
Cornelia de Lange syndrome 3,Other,3,0,0.0,80
Leber congenital amaurosis 6,Vision / Retinal,72,0,0.0,43
"Fanconi anemia, complementation group I",Other,4,0,0.0,44
